GENESIS-Tabelle: 21341-0001
Personal an Hochschulen: Deutschland, Jahre,;;
Personalgruppen nach Beschäftigungsverhältnis, Geschlecht;;
Statistik des Hochschulpersonals;;
Deutschland;;
Personal an Hochschulen (Anzahl);;
;;2020
Wissenschaftliches und künstlerisches Personal;männlich;247720
Wissenschaftliches und künstlerisches Personal;weiblich;167112
Wissenschaftliches und künstlerisches Personal;Insgesamt;414832
  Hauptberufl. wissenschaftl. u. künstler. Personal;männlich;159567
  Hauptberufl. wissenschaftl. u. künstler. Personal;weiblich;109708
  Hauptberufl. wissenschaftl. u. künstler. Personal;Insgesamt;269275
    Professoren;männlich;36344
    Professoren;weiblich;12949
    Professoren;Insgesamt;49293
    Dozenten und Assistenten;männlich;2182
    Dozenten und Assistenten;weiblich;1546
    Dozenten und Assistenten;Insgesamt;3728
    Wissenschaftliche und künstlerische Mitarbeiter;männlich;116004
    Wissenschaftliche und künstlerische Mitarbeiter;weiblich;89383
    Wissenschaftliche und künstlerische Mitarbeiter;Insgesamt;205387
    Lehrkräfte für besondere Aufgaben;männlich;5037
    Lehrkräfte für besondere Aufgaben;weiblich;5830
    Lehrkräfte für besondere Aufgaben;Insgesamt;10867
  Nebenberufl. wissenschaftl. u. künstler. Personal;männlich;88153
  Nebenberufl. wissenschaftl. u. künstler. Personal;weiblich;57404
  Nebenberufl. wissenschaftl. u. künstler. Personal;Insgesamt;145557
    Gastprofessoren, Emeriti;männlich;1534
    Gastprofessoren, Emeriti;weiblich;259
    Gastprofessoren, Emeriti;Insgesamt;1793
    Lehrbeauftragte;männlich;64492
    Lehrbeauftragte;weiblich;35238
    Lehrbeauftragte;Insgesamt;99730
    Wissenschaftliche Hilfskräfte;männlich;22127
    Wissenschaftliche Hilfskräfte;weiblich;21907
    Wissenschaftliche Hilfskräfte;Insgesamt;44034
Verwaltungs-, technisches und sonstiges Personal;männlich;100320
Verwaltungs-, technisches und sonstiges Personal;weiblich;243913
Verwaltungs-, technisches und sonstiges Personal;Insgesamt;344233
  Hauptberufl. Verwaltungs-, techn. u.sonst.Personal;männlich;98247
  Hauptberufl. Verwaltungs-, techn. u.sonst.Personal;weiblich;240419
  Hauptberufl. Verwaltungs-, techn. u.sonst.Personal;Insgesamt;338666
    Verwaltungspersonal;männlich;25941
    Verwaltungspersonal;weiblich;83918
    Verwaltungspersonal;Insgesamt;109859
    Bibliothekspersonal;männlich;2443
    Bibliothekspersonal;weiblich;7308
    Bibliothekspersonal;Insgesamt;9751
    Technisches Personal;männlich;33025
    Technisches Personal;weiblich;26360
    Technisches Personal;Insgesamt;59385
    Sonstiges Personal;männlich;14422
    Sonstiges Personal;weiblich;41609
    Sonstiges Personal;Insgesamt;56031
    Pflegepersonal;männlich;15427
    Pflegepersonal;weiblich;63731
    Pflegepersonal;Insgesamt;79158
    Arbeiter;männlich;-
    Arbeiter;weiblich;-
    Arbeiter;Insgesamt;-
    Auszubildende;männlich;6284
    Auszubildende;weiblich;16137
    Auszubildende;Insgesamt;22421
    Praktikanten;männlich;705
    Praktikanten;weiblich;1356
    Praktikanten;Insgesamt;2061
    Sonstiges Personal für Lehre und Forschung;männlich;-
    Sonstiges Personal für Lehre und Forschung;weiblich;-
    Sonstiges Personal für Lehre und Forschung;Insgesamt;-
    Leitungs- und Verwaltungspersonal;männlich;-
    Leitungs- und Verwaltungspersonal;weiblich;-
    Leitungs- und Verwaltungspersonal;Insgesamt;-
  Nebenberufl. Verwaltungs-, techn. u.sonst.Personal;männlich;2073
  Nebenberufl. Verwaltungs-, techn. u.sonst.Personal;weiblich;3494
  Nebenberufl. Verwaltungs-, techn. u.sonst.Personal;Insgesamt;5567
    Sonstige Hilfskräfte;männlich;2073
    Sonstige Hilfskräfte;weiblich;3494
    Sonstige Hilfskräfte;Insgesamt;5567
    Zeitweilig Beschäftigte;männlich;-
    Zeitweilig Beschäftigte;weiblich;-
    Zeitweilig Beschäftigte;Insgesamt;-
Insgesamt;männlich;348040
Insgesamt;weiblich;411025
Insgesamt;Insgesamt;759065
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 04.04.2024 / 18:30:01
